season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions
1415,2014-10-26,Udinese,Atalanta,2.0,0.0,2,1,0,0,H,1630.97,1578.6,52.37,3,0,10,4,10,3,3,1,1,1,0,4,7.0,4.0,1.0,7.0,9,11,0,0,0.888024,0.513206,9.964285714285714,8.45,7.0,6.0
1415,2014-10-28,Sassuolo,Empoli,3.0,1.0,2,3,0,0,H,1543.26,1505.57,37.69,3,0,5,8,3,3,1,2,2,1,3,1,6.0,6.0,7.0,8.0,12,6,1,1,3.30543,1.83984,11.0,8.121212121212121,5.0,4.0
1415,2014-10-29,Genoa,Juventus,1.0,0.0,2,4,0,0,H,1587.16,1896.2,-309.04,3,0,8,11,4,10,2,2,1,4,1,0,7.0,6.0,12.0,3.0,14,11,1,2,1.05735,1.1507,7.52,5.275862068965517,4.0,8.0
1415,2014-10-29,Atalanta,Napoli,1.0,1.0,4,2,1,0,D,1570.93,1755.78,-184.85,1,1,3,3,4,7,1,0,4,3,2,0,1.0,8.0,14.0,8.0,11,10,0,0,0.756052,2.55253,13.961538461538462,6.611111111111111,0.0,9.0
1415,2014-10-29,Cagliari,Milan,1.0,1.0,3,2,0,0,D,1577.05,1731.73,-154.68,1,1,7,10,1,8,2,1,2,2,3,0,11.0,6.0,9.0,5.0,13,10,0,1,1.92852,0.499723,11.92,9.2,12.0,8.0
1415,2014-10-29,Fiorentina,Udinese,3.0,0.0,2,3,0,0,H,1717.04,1638.64,78.4,3,0,6,6,5,3,1,3,1,3,1,1,5.0,4.0,8.0,4.0,10,10,0,0,2.83189,0.26723,7.892857142857143,14.705882352941176,9.0,3.0
1415,2014-10-29,Roma,Cesena,2.0,0.0,1,0,0,0,H,1786.49,1465.96,320.53,3,0,10,4,12,1,3,1,1,0,2,3,9.0,4.0,3.0,8.0,11,19,1,2,2.93622,0.167116,7.764705882352941,25.33333333333333,10.0,2.0
1415,2014-10-29,Palermo,Chievo,1.0,0.0,2,1,0,0,H,1550.47,1527.93,22.54,3,0,4,4,5,3,1,1,3,0,1,4,5.0,13.0,3.0,10.0,16,15,0,1,1.42598,0.444825,6.814814814814815,6.838709677419355,6.0,3.0
1415,2014-10-29,Torino,Parma,1.0,0.0,1,3,0,1,H,1630.6,1601.52,29.08,3,0,7,4,5,3,2,1,2,0,0,5,6.0,6.0,5.0,12.0,12,13,2,1,1.33422,0.694268,15.75,10.5,7.0,6.0
1415,2014-10-29,Inter,Sampdoria,1.0,0.0,2,2,0,0,H,1674.16,1603.37,70.79,3,0,7,7,7,6,2,1,2,3,2,0,6.0,9.0,6.0,3.0,9,16,1,1,2.31775,0.529139,6.703703703703703,10.15625,10.0,2.0
